ID,Position,Finishing,HeadingAccuracy,ShortPassing,Dribbling,FKAccuracy,LongPassing,Acceleration,Reactions,Stamina,LongShots,Marking,Penalties
0,158023,RF,95.0,70.0,90.0,97.0,94.0,87.0,91.0,95.0,72.0,94.0,33.0,75.0
1,20801,ST,94.0,89.0,81.0,88.0,76.0,77.0,89.0,96.0,88.0,93.0,28.0,85.0
2,190871,LW,87.0,62.0,84.0,96.0,87.0,78.0,94.0,94.0,81.0,82.0,27.0,81.0
3,193080,GK,13.0,21.0,50.0,18.0,19.0,51.0,57.0,90.0,43.0,12.0,15.0,40.0
4,192985,RCM,82.0,55.0,92.0,86.0,83.0,91.0,78.0,91.0,90.0,91.0,68.0,79.0
5,183277,LF,84.0,61.0,89.0,95.0,79.0,83.0,94.0,90.0,83.0,80.0,34.0,86.0
6,177003,RCM,72.0,55.0,93.0,90.0,78.0,88.0,80.0,90.0,89.0,82.0,60.0,82.0
7,176580,RS,93.0,77.0,82.0,87.0,84.0,64.0,86.0,92.0,90.0,85.0,62.0,85.0
8,155862,RCB,60.0,91.0,78.0,63.0,72.0,77.0,76.0,85.0,84.0,59.0,87.0,75.0
9,200389,GK,11.0,15.0,29.0,12.0,14.0,26.0,43.0,86.0,41.0,12.0,27.0,11.0
10,188545,ST,91.0,85.0,83.0,85.0,86.0,65.0,77.0,90.0,78.0,84.0,34.0,88.0
11,182521,LCM,76.0,54.0,92.0,81.0,84.0,93.0,64.0,89.0,75.0,92.0,72.0,73.0
12,182493,CB,42.0,92.0,79.0,53.0,51.0,70.0,68.0,85.0,66.0,43.0,90.0,50.0
13,168542,LCM,76.0,54.0,93.0,89.0,77.0,87.0,70.0,90.0,78.0,75.0,59.0,75.0
14,215914,LDM,65.0,54.0,86.0,79.0,49.0,81.0,82.0,93.0,96.0,69.0,90.0,54.0
15,211110,LF,84.0,68.0,87.0,92.0,88.0,75.0,87.0,86.0,80.0,88.0,23.0,86.0
16,202126,ST,94.0,85.0,80.0,80.0,68.0,82.0,68.0,91.0,89.0,85.0,56.0,90.0
17,194765,CAM,90.0,84.0,83.0,88.0,78.0,76.0,88.0,90.0,83.0,82.0,59.0,79.0
18,192448,GK,14.0,11.0,36.0,17.0,12.0,42.0,38.0,85.0,35.0,10.0,25.0,25.0
19,192119,GK,14.0,13.0,33.0,13.0,20.0,35.0,46.0,84.0,38.0,17.0,20.0,27.0
20,189511,CDM,67.0,68.0,89.0,80.0,68.0,82.0,50.0,87.0,86.0,54.0,90.0,60.0
21,179813,LS,89.0,89.0,78.0,80.0,76.0,52.0,75.0,91.0,92.0,79.0,52.0,85.0
22,167495,GK,13.0,25.0,55.0,30.0,11.0,59.0,54.0,84.0,43.0,16.0,17.0,47.0
23,153079,ST,93.0,77.0,81.0,89.0,73.0,64.0,88.0,90.0,76.0,83.0,30.0,83.0
24,138956,LCB,33.0,83.0,59.0,58.0,31.0,59.0,63.0,82.0,65.0,49.0,93.0,50.0
25,231747,RM,88.0,77.0,82.0,90.0,63.0,73.0,96.0,87.0,83.0,78.0,34.0,70.0
26,209331,RM,90.0,59.0,82.0,89.0,60.0,72.0,94.0,91.0,84.0,83.0,38.0,61.0
